"train/global_step","llama-3.1-8b-finetuning-v1 - _step","llama-3.1-8b-finetuning-v1 - _step__MIN","llama-3.1-8b-finetuning-v1 - _step__MAX","llama-3.1-8b-finetuning-v1 - train/loss","llama-3.1-8b-finetuning-v1 - train/loss__MIN","llama-3.1-8b-finetuning-v1 - train/loss__MAX"
"1","0","0","0","1.6694250000000002","1.6394","1.7129"
"10","1","1","1","1.5814","1.5723","1.6015"
"20","2.25","2","3","1.330875","1.3158","1.3495"
"30","3.5","3","5","0.978175","0.955","1.0015"
"40","4.75","4","7","0.786725","0.7778","0.8003"
"50","6","5","9","0.701875","0.6895","0.7141"
"60","7.75","6","11","0.678","0.6732","0.6813"
"70","9","7","13","0.667","0.6518","0.6822"
"80","10.25","8","15","0.6345000000000001","0.6339","0.6349"
"90","11.5","9","17","0.63395","0.6219","0.6459"
"100","12.75","10","19","0.629275","0.6055","0.6531"
"110","12.333333333333334","11","13","0.6269333333333333","0.617","0.6468"
"120","13.333333333333334","12","14","0.6289","0.6239","0.6389"
"130","14.333333333333334","13","15","0.6224","0.6118","0.6435"
"140","15.333333333333334","14","16","0.6210333333333333","0.617","0.6289"
"150","16.333333333333332","15","17","0.6103333333333333","0.605","0.6209"
"160","18","16","19","0.622","0.6205","0.6249"
"170","19","17","20","0.6164666666666667","0.6104","0.6286"
"180","20","18","21","0.5991666666666666","0.5955","0.6011"
"190","21","19","22","0.6006","0.5976","0.6022"
"200","22","20","23","0.6069333333333333","0.5964","0.6122"
"210","24","22","25","0.6002","0.589","0.606"
"220","25","23","26","0.6181","0.6099","0.6344"
"230","26","24","27","0.6008666666666667","0.5937","0.6148"
"240","27","25","28","0.6084333333333333","0.6005","0.624"
"250","28","26","29","0.6001333333333333","0.5963","0.6025"
"260","29.666666666666668","27","31","0.6119333333333334","0.6085","0.6179"
"270","30.666666666666668","28","32","0.6065666666666667","0.5966","0.612"
"280","31.666666666666668","29","33","0.6049333333333334","0.5946","0.6245"
"290","32.666666666666664","30","34","0.6008666666666668","0.5964","0.6089"
"300","33.666666666666664","31","35","0.5856666666666667","0.5816","0.5923"
"310","35.333333333333336","32","37","0.5897","0.5753","0.6171"
"320","36.333333333333336","33","38","0.6050333333333333","0.6012","0.6109"
"330","37.333333333333336","34","39","0.5976333333333333","0.5887","0.6137"
"340","38.333333333333336","35","40","0.5848","0.5735","0.6054"
"350","39.333333333333336","36","41","0.6013666666666667","0.6005","0.603"
"360","41","37","43","0.5890333333333334","0.5872","0.5905"
"370","42","38","44","0.5827","0.5789","0.5862"
"380","43","39","45","0.5954333333333334","0.5822","0.6187"
"390","44","40","46","0.5975333333333334","0.5898","0.6095"
"400","45","41","47","0.5883666666666666","0.5788","0.6039"
"410","47","43","49","0.5881","0.5767","0.6071"
"420","48","44","50","0.5955","0.5924","0.5977"
"430","49","45","51","0.5852333333333334","0.5773","0.5976"
"440","50","46","52","0.5767666666666668","0.5586","0.6097"
"450","51","47","53","0.5913","0.5865","0.5969"
"460","52.666666666666664","48","55","0.5840333333333333","0.5809","0.5883"
"470","53.666666666666664","49","56","0.5878333333333333","0.5805","0.5973"
"480","54.666666666666664","50","57","0.5899","0.5853","0.5927"
"490","55.666666666666664","51","58","0.5868333333333333","0.5778","0.5991"
"500","56.666666666666664","52","59","0.5889000000000001","0.5865","0.592"
"510","58.333333333333336","53","61","0.5892000000000001","0.5814","0.5977"
"520","59.333333333333336","54","62","0.5925333333333334","0.5826","0.6059"
"530","60.333333333333336","55","63","0.5974666666666666","0.5877","0.61"
"540","61.333333333333336","56","64","0.5823333333333333","0.5736","0.5945"
"550","62.333333333333336","57","65","0.5823333333333333","0.5775","0.5879"
"560","64","58","67","0.5795333333333333","0.5692","0.5936"
"570","65","59","68","0.5888666666666668","0.5825","0.5944"
"580","66","60","69","0.5745","0.5649","0.5843"
"590","67","61","70","0.5661666666666667","0.5573","0.5759"
"600","68","62","71","0.5659666666666667","0.5582","0.5715"
"610","70","64","73","0.5723333333333334","0.5683","0.5783"
"620","71","65","74","0.5714333333333333","0.5648","0.5791"
"630","72","66","75","0.5873666666666667","0.5814","0.5912"
"640","73","67","76","0.5752","0.5634","0.5896"
"650","74","68","77","0.5747333333333334","0.5688","0.5782"
"660","75.66666666666667","69","79","0.5809000000000001","0.5748","0.5862"
"670","76.66666666666667","70","80","0.5719","0.5661","0.58"
"680","77.66666666666667","71","81","0.5702666666666666","0.5627","0.5798"
"690","78.66666666666667","72","82","0.5807","0.5679","0.5988"
"700","79.66666666666667","73","83","0.5788000000000001","0.5725","0.5835"
"710","81.33333333333333","74","85","0.5643333333333334","0.5499","0.5822"
"720","82.33333333333333","75","86","0.5628","0.5509","0.5751"
"730","83.33333333333333","76","87","0.5762999999999999","0.5669","0.5852"
"740","84.33333333333333","77","88","0.5677","0.5591","0.5763"
"750","85.33333333333333","78","89","0.5677","0.5572","0.5772"
"760","87","79","91","0.5541333333333334","0.5449","0.5605"
"770","88","80","92","0.5819333333333333","0.5759","0.5886"
"780","89","81","93","0.5627333333333333","0.552","0.5746"
"790","90","82","94","0.57","0.5657","0.5784"
"800","91","83","95","0.5637","0.5537","0.5723"
"810","91","85","97","0.56865","0.5625","0.5748"
"820","92","86","98","0.55525","0.5483","0.5622"
"830","93","87","99","0.5774","0.5644","0.5904"
"840","94","88","100","0.5578000000000001","0.545","0.5706"
"850","95","89","101","0.5661","0.5641","0.5681"
"860","96.5","90","103","0.5653","0.5624","0.5682"
"870","97.5","91","104","0.5603","0.5504","0.5702"
"880","98.5","92","105","0.545","0.5269","0.5631"
"890","99.5","93","106","0.55635","0.5502","0.5625"
"900","100.5","94","107","0.5698000000000001","0.5462","0.5934"
"910","102","95","109","0.57315","0.5664","0.5799"
"920","103","96","110","0.55445","0.5423","0.5666"
"930","104","97","111","0.5588","0.5584","0.5592"
"940","105","98","112","0.5768500000000001","0.5623","0.5914"
"950","106","99","113","0.56745","0.5648","0.5701"
"960","100","100","100","0.592","0.592","0.592"
"970","101","101","101","0.5595","0.5595","0.5595"
"980","102","102","102","0.5782","0.5782","0.5782"
"990","103","103","103","0.5812","0.5812","0.5812"
