"train/global_step","llama-3.1-8b-finetuning-v1 - _step","llama-3.1-8b-finetuning-v1 - _step__MIN","llama-3.1-8b-finetuning-v1 - _step__MAX","llama-3.1-8b-finetuning-v1 - train/learning_rate","llama-3.1-8b-finetuning-v1 - train/learning_rate__MIN","llama-3.1-8b-finetuning-v1 - train/learning_rate__MAX"
"1","0","0","0","0","0","0"
"10","1","1","1","0.000018","0.000018","0.000018"
"20","2.25","2","3","0.000038","0.000038","0.000038"
"30","3.5","3","5","0.000058","0.000058","0.000058"
"40","4.75","4","7","0.00007800000000000001","0.00007800000000000001","0.00007800000000000001"
"50","6","5","9","0.000098","0.000098","0.000098"
"60","7.75","6","11","0.000118","0.000118","0.000118"
"70","9","7","13","0.000138","0.000138","0.000138"
"80","10.25","8","15","0.00015800000000000002","0.00015800000000000002","0.00015800000000000002"
"90","11.5","9","17","0.00017800000000000002","0.00017800000000000002","0.00017800000000000002"
"100","12.75","10","19","0.00019800000000000002","0.00019800000000000002","0.00019800000000000002"
"110","12.333333333333334","11","13","0.00019996494990236557","0.00019994545339148016","0.00019999874027904337"
"120","13.333333333333334","12","14","0.00019984383538939967","0.00019975697361016508","0.00019999438572882884"
"130","14.333333333333334","13","15","0.0001996363776136594","0.00019943414102544083","0.00019998692093265845"
"140","15.333333333333334","14","16","0.00019934284019948532","0.00019897739042859286","0.00019997634612271874"
"150","16.333333333333332","15","17","0.00019896359614937154","0.0001983873369718348","0.00019996266162793075"
"160","18","16","19","0.00019849912736330977","0.00019766477533982095","0.00019994586787393988"
"170","19","17","20","0.00019795002401780992","0.00019681067867936377","0.00019992596538310245"
"180","20","18","21","0.00019731698380539905","0.00019582619728879895","0.00019990295477446965"
"190","21","19","22","0.00019660081103558145","0.0001947126570687622","0.00019987683676376823"
"200","22","20","23","0.00019580241559842183","0.0001934715577364648","0.0001998476121633781"
"210","24","22","25","0.00019492281179209051","0.00019210457080587285","0.00019981528188230731"
"220","25","23","26","0.00019396311701588547","0.00019061353733651037","0.00019977984692616356"
"230","26","24","27","0.00019292455033042018","0.00018900046545391815","0.000199741308397123"
"240","27","25","28","0.00019180843088683754","0.00018726752764510826","0.00019969966749389597"
"250","28","26","29","0.0001906161762270795","0.00018541705783265596","0.0001996549255116897"
"260","29.666666666666668","27","31","0.0001893493004574082","0.00018345154823137016","0.00019960708384216802"
"270","30.666666666666668","28","32","0.00018800941229753893","0.00018137364599177586","0.00019955614397340808"
"280","31.666666666666668","29","33","0.00018659821300790513","0.0001791861496349287","0.000199502107489854"
"290","32.666666666666664","30","34","0.00018511749419773357","0.00017689200528336386","0.00019944497607226773"
