"train/global_step","llama-3.1-8b-finetuning-v1 - _step","llama-3.1-8b-finetuning-v1 - _step__MIN","llama-3.1-8b-finetuning-v1 - _step__MAX","llama-3.1-8b-finetuning-v1 - eval/loss","llama-3.1-8b-finetuning-v1 - eval/loss__MIN","llama-3.1-8b-finetuning-v1 - eval/loss__MAX"
"10","2","2","2","1.5553134679794312","1.5553134679794312","1.5553134679794312"
"20","4","4","4","1.1717181205749512","1.1717181205749512","1.1717181205749512"
"30","6","6","6","0.888748824596405","0.888748824596405","0.888748824596405"
"40","8","8","8","0.7269452214241028","0.7269452214241028","0.7269452214241028"
"50","7.333333333333333","6","10","0.6922620932261149","0.6902671456336975","0.6962502002716064"
"60","12","12","12","0.6557021141052246","0.6557021141052246","0.6557021141052246"
"70","14","14","14","0.642612874507904","0.642612874507904","0.642612874507904"
"80","16","16","16","0.6378515362739563","0.6378515362739563","0.6378515362739563"
"90","18","18","18","0.6349758505821228","0.6349758505821228","0.6349758505821228"
"100","14.666666666666666","12","20","0.6245834827423096","0.6216482520103455","0.6304352283477783"
"150","18","18","18","0.6073606014251709","0.6073070764541626","0.6074141263961792"
"200","23","21","24","0.6045575936635336","0.5992608666419983","0.6148346066474915"
"250","30","30","30","0.5946148633956909","0.5944321155548096","0.5947976112365723"
"300","36","36","36","0.5880385935306549","0.5871402025222778","0.588936984539032"
"350","42","42","42","0.5836453139781952","0.5827950835227966","0.5844955444335938"
"400","46","42","48","0.5846701065699259","0.5781807899475098","0.5944826006889343"
"450","54","54","54","0.5791864395141602","0.5760175585746765","0.5823553204536438"
"500","60","60","60","0.5731145441532135","0.5698283314704895","0.5764007568359375"
"550","66","66","66","0.5709876418113708","0.5680413246154785","0.5739339590072632"
"600","69","63","72","0.5714267293612162","0.5632911324501038","0.5776430368423462"
"650","78","78","78","0.5648482441902161","0.5600520968437195","0.5696443915367126"
"700","84","84","84","0.5632278621196747","0.5572770833969116","0.5691786408424377"
"750","90","90","90","0.5593933165073395","0.5550801753997803","0.5637064576148987"
"800","90","84","96","0.5607953667640686","0.5536309480667114","0.5679597854614258"
"850","102","102","102","0.5524076819419861","0.5524076819419861","0.5524076819419861"
"900","108","108","108","0.5519813299179077","0.5519813299179077","0.5519813299179077"
"950","114","114","114","0.5518596172332764","0.5518596172332764","0.5518596172332764"
"1000","105","105","105","0.5650220513343811","0.5650220513343811","0.5650220513343811"
